Perfil de Temperatura via solucao analitica
t X0 X1 X2 X3 X4 X5 X6
163 56.3217 53.5976 45.2302 30.6945 9.30478 -19.5487 -56.163
163.5 56.3008 53.5734 45.197 30.6496 9.24943 -19.6092 -56.2207
164 56.2798 53.5491 45.1638 30.6047 9.19416 -19.6696 -56.2782
164.5 56.2588 53.5248 45.1306 30.5599 9.13898 -19.7299 -56.3355
165 56.2376 53.5003 45.0973 30.5151 9.0839 -19.79 -56.3928
165.5 56.2163 53.4757 45.064 30.4703 9.0289 -19.8499 -56.4498
166 56.1949 53.4511 45.0306 30.4255 8.97399 -19.9098 -56.5068
166.5 56.1733 53.4263 44.9972 30.3807 8.91917 -19.9695 -56.5636
167 56.1517 53.4015 44.9637 30.336 8.86444 -20.029 -56.6203
167.5 56.13 53.3765 44.9302 30.2913 8.80979 -20.0885 -56.6768
168 56.1081 53.3515 44.8966 30.2466 8.75523 -20.1478 -56.7332
168.5 56.0862 53.3264 44.863 30.2019 8.70076 -20.207 -56.7895
169 56.0641 53.3012 44.8293 30.1573 8.64638 -20.266 -56.8456
169.5 56.0419 53.2759 44.7956 30.1126 8.59208 -20.3249 -56.9016
170 56.0196 53.2505 44.7619 30.068 8.53787 -20.3837 -56.9574
170.5 55.9972 53.225 44.7281 30.0234 8.48374 -20.4424 -57.0132
171 55.9748 53.1994 44.6943 29.9789 8.4297 -20.5009 -57.0687
171.5 55.9522 53.1738 44.6604 29.9343 8.37574 -20.5593 -57.1242
172 55.9295 53.148 44.6265 29.8898 8.32187 -20.6176 -57.1795
172.5 55.9066 53.1222 44.5925 29.8453 8.26808 -20.6758 -57.2347
173 55.8837 53.0963 44.5585 29.8008 8.21438 -20.7338 -57.2898
173.5 55.8607 53.0703 44.5245 29.7564 8.16075 -20.7917 -57.3448
174 55.8376 53.0442 44.4904 29.7119 8.10722 -20.8495 -57.3996
174.5 55.8144 53.018 44.4563 29.6675 8.05376 -20.9071 -57.4543
175 55.7911 52.9917 44.4221 29.6231 8.00038 -20.9647 -57.5088
175.5 55.7676 52.9654 44.3879 29.5787 7.94709 -21.0221 -57.5633
176 55.7441 52.9389 44.3537 29.5344 7.89388 -21.0794 -57.6176
